country;zip;city;zeros
NO;0604;OSLO;0
NO;0605;OSLO;0
NO;0606;OSLO;0
NO;0607;OSLO;0
NO;0608;OSLO;0
NO;0609;OSLO;0
NO;0611;OSLO;0
NO;0612;OSLO;0
NO;0613;OSLO;0
NO;0614;OSLO;0
NO;0615;OSLO;0
NO;0616;OSLO;0
NO;0617;OSLO;0
NO;0618;OSLO;0
NO;0619;OSLO;0
NO;0620;OSLO;0
NO;0621;OSLO;0
NO;0622;OSLO;0
NO;0623;OSLO;0
NO;0624;OSLO;0
NO;0626;OSLO;0
NO;0650;OSLO;0
NO;0651;OSLO;0
NO;0652;OSLO;0
NO;0653;OSLO;0
NO;0654;OSLO;0
NO;0655;OSLO;0
NO;0656;OSLO;0
NO;0657;OSLO;0
NO;0658;OSLO;0
NO;0659;OSLO;0
NO;0660;OSLO;0
NO;0661;OSLO;0
NO;0662;OSLO;0
NO;0663;OSLO;0
NO;0664;OSLO;0
NO;0665;OSLO;0
NO;0666;OSLO;0
NO;0667;OSLO;0
NO;0668;OSLO;0
NO;0669;OSLO;0
NO;0670;OSLO;0
NO;0671;OSLO;0
NO;0672;OSLO;0
NO;0673;OSLO;0
NO;0674;OSLO;0
NO;0675;OSLO;0
NO;0676;OSLO;0
NO;0677;OSLO;0
NO;0678;OSLO;0
NO;0679;OSLO;0
NO;0680;OSLO;0
NO;0681;OSLO;0
NO;0682;OSLO;0
NO;0683;OSLO;0
NO;0684;OSLO;0
NO;0685;OSLO;0
NO;0686;OSLO;0
NO;0687;OSLO;0
NO;0688;OSLO;0
NO;0689;OSLO;0
NO;0690;OSLO;0
NO;0691;OSLO;0
NO;0692;OSLO;0
NO;0693;OSLO;0
NO;0694;OSLO;0
NO;0701;OSLO;0
NO;0702;OSLO;0
NO;0705;OSLO;0
NO;0710;OSLO;0
NO;0712;OSLO;0
NO;0750;OSLO;0
NO;0751;OSLO;0
NO;0752;OSLO;0
NO;0753;OSLO;0
NO;0754;OSLO;0
NO;0755;OSLO;0
NO;0756;OSLO;0
NO;0757;OSLO;0
NO;0758;OSLO;0
NO;0760;OSLO;0
NO;0763;OSLO;0
NO;0764;OSLO;0
NO;0765;OSLO;0
NO;0766;OSLO;0
NO;0767;OSLO;0
NO;0768;OSLO;0
NO;0770;OSLO;0
NO;0771;OSLO;0
NO;0772;OSLO;0
NO;0773;OSLO;0
NO;0774;OSLO;0
NO;0775;OSLO;0
NO;0776;OSLO;0
NO;0777;OSLO;0
NO;0778;OSLO;0
NO;0779;OSLO;0
NO;0781;OSLO;0
NO;0782;OSLO;0
NO;0783;OSLO;0
NO;0784;OSLO;0
NO;0785;OSLO;0
NO;0786;OSLO;0
NO;0787;OSLO;0
NO;0788;OSLO;0
NO;0789;OSLO;0
NO;0790;OSLO;0
NO;0791;OSLO;0
NO;0801;OSLO;0
NO;0805;OSLO;0
NO;0806;OSLO;0
NO;0807;OSLO;0
NO;0840;OSLO;0
NO;0850;OSLO;0
NO;0851;OSLO;0
NO;0852;OSLO;0
NO;0853;OSLO;0
NO;0854;OSLO;0
NO;0855;OSLO;0
NO;0856;OSLO;0
NO;0857;OSLO;0
NO;0858;OSLO;0
NO;0860;OSLO;0
NO;0861;OSLO;0
NO;0862;OSLO;0
NO;0863;OSLO;0
